Ontologies;Relations
https://ontology.tno.nl/saref.ttl - https://w3id.org/saref#;Function exists in the ontology - A function represents the functionality necessary to accomplish the task for which a device is designed
https://ontology.tno.nl/saref.ttl - https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Property exists in the ontology - An aspect could be a (physical or non-physical) entity or it could be a quality
https://ontology.tno.nl/saref.ttl - https://www.w3.org/ns/ssn/;Actuator exists in the ontology - Actuator exists in the ontology
https://ontology.tno.nl/saref.ttl - https://w3id.org/saref#;"Service exists in the ontology - A service is a representation of a function to a network that makes this function discoverable; registerable and remotely controllable by other devices in the network"
https://ontology.tno.nl/saref.ttl - https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;Command exists in the ontology - Command exists in the ontology
https://ontology.tno.nl/saref.ttl - ISO/IEC 30141:2017;represents exists in the ontology - represents exists in the ontology
https://ontology.tno.nl/saref.ttl - https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasCommand exists in the ontology - hasCommand exists in the ontology
https://ontology.tno.nl/saref.ttl - https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;consistsOf exists in the ontology - consistsOf exists in the ontology
https://ontology.tno.nl/saref.ttl - https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasValue exists in the ontology - hasValue exists in the ontology
https://ontology.tno.nl/saref.ttl - https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;hasFunction exists in the ontology - hasFunction exists in the ontology
https://ontology.tno.nl/saref.ttl - Open Connectivity Foundation (OCF);hasManufacturer exists in the ontology - hasManufacturer exists in the ontology
