Provenance;Terms involved;Ontology;Requirement description;Result
http://www.w3.org/ns/ssn;'["Procedure","implementedBy","System"]';Open Connectivity Foundation (OCF);A procedure is implemented by a system;undefined
http://www.w3.org/ns/ssn;'["Deployment","deployedOnPlatform","Platform"]';Open Connectivity Foundation (OCF);A deplopyment is deployed in a platform;undefined
http://www.w3.org/ns/ssn;'["Sampling","hasFeatureOfInterest","FeatureOfInterest"]';Open Connectivity Foundation (OCF);A sampling has one feature of interest;undefined
Open Connectivity Foundation (OCF);["Entity"];Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Resource","hasUsers","string"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Resource","isAccessibleThrough","Link"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Lighting","Device"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Endpoint","isProvidedOverProtocol","CommunicationProtocol"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Device","isAccessibleThrough","Endpoint"]';Open Connectivity Foundation (OCF);;absent
Open Connectivity Foundation (OCF);'["Endpoint","makesAccessible","Device"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Maintenance","Resource"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["SpaceConditioning","Device"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Security","Resource"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Device","communicatesWith"]';Open Connectivity Foundation (OCF);;absent
Open Connectivity Foundation (OCF);'["Device","serialNumber","string","Resource"]';Open Connectivity Foundation (OCF);;absent
Open Connectivity Foundation (OCF);'["Resource","address","string","Device"]';Open Connectivity Foundation (OCF);;absent
Open Connectivity Foundation (OCF);'["Device","deviceName","string","Resource"]';Open Connectivity Foundation (OCF);;absent
Open Connectivity Foundation (OCF);'["Resource","encapsulates","State"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Resource","hasFunctionality","Functionality"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Device","hosts","Resource"]';Open Connectivity Foundation (OCF);;absent
Open Connectivity Foundation (OCF);'["Property","describesAspect","Aspect"]';Open Connectivity Foundation (OCF);;absent
Open Connectivity Foundation (OCF);'["Resource","hasManufacturer","string"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Electronics","Device"]';Open Connectivity Foundation (OCF);;passed
Open Connectivity Foundation (OCF);'["Infrastructure","Device"]';Open Connectivity Foundation (OCF);;passed
